<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
APH20,20200102,7.54,7.8,7.54,7.77,19
BAH20,20200102,6.83,7.05,6.83,7.05,4
BANPUH20,20200102,11.98,12.23,11.97,12.02,701
BANPUM20,20200102,11.96,11.96,11.96,11.96,310
BAYH20,20200102,30,30,30,30,1
BBLH20,20200102,161.49,163,161.49,163,510
BBLM20,20200102,163.06,163.48,162,163.48,175
BBLU20,20200102,160.3,163,160.01,162,233
BCHH20,20200102,17.04,17.1,16.9,17,663
BCPGH20,20200102,16.6,16.6,16.6,16.6,1
BCPH20,20200102,28,29,28,28.99,106
BDMSH20,20200102,25.99,26.1,25.8,26.1,510
BEAUTYH20,20200102,1.69,1.9,1.69,1.87,7061
BEAUTYM20,20200102,1.85,1.85,1.85,1.85,1
BECH20,20200102,5.84,5.9,5.84,5.9,116
BEMH20,20200102,11.04,11.09,11.03,11.03,603
BEMM20,20200102,11.18,11.21,11.18,11.21,17
BGRIMH20,20200102,52.6,53,52.55,52.58,378
BHH20,20200102,146.96,146.96,146.96,146.96,91
BHM20,20200102,146,146,146,146,20
BJCH20,20200102,42.72,42.72,41.26,41.26,54
BJCM20,20200102,41.5,41.5,41.5,41.5,31
BLANDH20,20200102,1.35,1.39,1.35,1.38,87050
BLANDM20,20200102,1.38,1.39,1.38,1.39,1522
BLANDU20,20200102,1.38,1.4,1.38,1.4,3
BTSH20,20200102,13.13,13.25,13.13,13.24,4974
BTSU20,20200102,13.38,13.38,13.38,13.38,500
CBGH20,20200102,83.9,83.9,81,82.86,256
CBGM20,20200102,81.5,82.84,81.5,82.84,3
CBGU20,20200102,94,94,94,94,2150
CENTELH20,20200102,25.08,25.08,24.7,24.9,14
CHGH20,20200102,2.58,2.58,2.58,2.58,1
CKH20,20200102,18.99,19.25,18.99,19.25,4392
CKPH20,20200102,5.01,5.05,4.98,5.01,344
CKPM20,20200102,5.05,5.05,5.05,5.05,1
CKPU20,20200102,5.08,5.08,5.07,5.07,4
COM7H20,20200102,26.25,26.25,24.8,25,1027
COM7M20,20200102,25.24,25.24,25.24,25.24,100
CPALLH20,20200102,72.74,73.66,71.5,71.5,1191
CPALLM20,20200102,72,72.55,71.65,72,746
CPALLU20,20200102,71.25,71.25,71.25,71.25,200
CPFH20,20200102,27.7,28.19,27.7,27.85,1114
CPFM20,20200102,28.09,28.09,28.09,28.09,2
CPNH20,20200102,62.01,62.01,60.76,60.76,173
DELTAH20,20200102,51.43,52.5,50.06,52.5,207
DTACH20,20200102,53.25,53.5,53.25,53.25,817
EAH20,20200102,44,44.75,44,44.5,304
EGCOH20,20200102,325,325,325,325,161
EGCOM20,20200102,329.38,329.38,329.38,329.38,50
EPGH20,20200102,6.31,6.31,6.31,6.31,1
ESSOH20,20200102,9.1,9.24,9,9,1920
ESSOM20,20200102,8.88,8.88,8.88,8.88,500
GDH20,20200102,1532.7,1540.9,1532.7,1540.9,5
GF10G20,20200102,21850,21960,21840,21960,4173
GF10J20,20200102,21920,22020,21920,22010,768
GF10M20,20200102,22000,22100,21980,22090,338
