<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
THANI,20200102,5.8,5.85,5.75,5.8,6763000
THCOM,20200102,3.86,4.06,3.82,3.98,1931500
THE,20200102,2.06,2.08,2.04,2.08,9186700
THG,20200102,27,27.25,26.75,27,297700
THIP,20200102,18.7,18.8,18.5,18.7,38300
THMUI,20200102,0.7,0.7,0.65,0.68,79600
THRE,20200102,0.65,0.66,0.64,0.65,3704000
THREL,20200102,3.64,3.66,3.58,3.66,444600
TIF1,20200102,9.1,9.1,9.1,9.1,2600
TIGER,20200102,2,2.02,2,2.02,5300
TIP,20200102,24,24.3,23.9,24.3,273300
TIPCO,20200102,7.65,7.75,7.65,7.7,251700
TISCO,20200102,99.5,102.5,99.25,101.5,4741400
TITLE,20200102,3.38,3.46,3.38,3.46,597500
TK,20200102,9.95,10.1,9.85,10.1,111600
TKN,20200102,10.5,10.7,10.4,10.6,5780600
TKS,20200102,6.55,6.55,6.45,6.5,138800
TKT,20200102,1,1.06,0.98,0.99,1554100
TLGF,20200102,20.3,20.3,20.1,20.3,151800
TLHPF,20200102,11,11,11,11,500000
TM,20200102,2.52,2.52,2.48,2.5,138000
TMB,20200102,1.67,1.71,1.65,1.68,411018900
TMC,20200102,0.5,0.5,0.48,0.48,31100
TMD,20200102,26,26,25.75,26,26200
TMI,20200102,0.7,0.7,0.69,0.7,783700
TMILL,20200102,2.82,2.84,2.8,2.84,16600
TMT,20200102,3.98,4,3.98,3.98,142000
TMW,20200102,37.75,38.25,37.5,37.75,6400
TNDT,20200102,3.64,3.84,3.64,3.72,50700
TNH,20200102,32.5,32.75,32.25,32.75,24900
TNP,20200102,2.08,2.26,2.08,2.18,407300
TNPF,20200102,2.9,2.96,2.9,2.94,13700
TNR,20200102,9.1,9.15,9,9.1,14500
TOA,20200102,39.5,40.25,39,39.25,1727700
TOG,20200102,5.45,5.8,5.45,5.75,128600
TOP,20200102,70,72,69.25,71,12337200
TOPP,20200102,185,185,185,185,900
TPA,20200102,5.4,5.4,5.4,5.4,100
TPAC,20200102,9.5,9.5,9.45,9.5,3700
TPBI,20200102,4.1,4.12,4.08,4.08,30200
TPCH,20200102,12.5,13.1,12.5,13.1,3594200
TPCORP,20200102,10.1,10.1,10.1,10.1,1500
TPIPL,20200102,1.38,1.47,1.37,1.45,31115400
TPIPP,20200102,4.36,4.42,4.36,4.38,5900600
TPLAS,20200102,1.17,1.18,1.16,1.17,371000
TPOLY,20200102,2.58,2.7,2.56,2.68,346900
TPRIME,20200102,15.8,16.1,15.8,16.1,35000
TPS,20200102,2.02,2.04,2,2.02,376700
TQM,20200102,66,67.25,65.5,65.5,1173100
TR,20200102,28.75,29,28.25,28.5,15200
TRC,20200102,0.13,0.13,0.12,0.12,3959300
TRITN,20200102,0.29,0.3,0.29,0.3,7255600
TRT,20200102,1.89,1.9,1.8,1.9,85300
TRU,20200102,4.18,4.18,4.16,4.16,13500
TRUBB,20200102,0.64,0.64,0.62,0.63,164600
TRUE,20200102,4.58,4.62,4.54,4.6,82143500
TSC,20200102,12.3,12.6,12.3,12.4,10600
TSE,20200102,2.94,2.96,2.94,2.94,1775000
TSI,20200102,0.53,0.53,0.47,0.5,73300
TSR,20200102,2,2,1.99,1.99,26400
TSTE,20200102,6.1,6.1,6.1,6.1,1000
TSTH,20200102,0.5,0.5,0.49,0.49,22000
TTA,20200102,4.46,4.54,4.44,4.5,879800
TTCL,20200102,5.4,5.45,5.35,5.4,278700
TTLPF,20200102,21.8,21.8,21.8,21.8,4000
TTT,20200102,51,51,50.25,50.25,1100
TTW,20200102,13.8,13.8,13.5,13.5,3083700
TU,20200102,13.6,13.7,13.3,13.6,7994000
TU-PF,20200102,1.78,1.78,1.78,1.78,2000
TVD,20200102,0.99,1.01,0.99,1,235200
TVI,20200102,4.22,4.22,4.18,4.2,2400
TVO,20200102,27.25,28,27.25,28,1918600
TVT,20200102,0.59,0.62,0.59,0.62,27700
TWP,20200102,2.08,2.18,2.08,2.18,2600
TWPC,20200102,4.18,4.18,4.12,4.18,20300
TWZ,20200102,0.07,0.08,0.07,0.07,3690000
TYCN,20200102,2.2,2.28,2.18,2.28,6300
U,20200102,1.71,1.75,1.71,1.74,2336600
UAC,20200102,2.8,2.86,2.8,2.84,78900
UBIS,20200102,5.55,5.75,5.55,5.6,6300
UEC,20200102,0.72,0.72,0.71,0.71,1200
UKEM,20200102,0.4,0.41,0.4,0.41,770200
UMI,20200102,0.75,0.75,0.73,0.74,48700
UMS,20200102,0.32,0.34,0.24,0.28,25300
UNIQ,20200102,7.25,7.4,7.25,7.4,3357700
UOBKH,20200102,2.96,3,2.96,3,2100
UPA,20200102,0.22,0.22,0.22,0.22,656600
UPF,20200102,39,39,37,37,1200
UPOIC,20200102,3.6,3.72,3.54,3.72,11300
URBNPF,20200102,4.52,4.52,4.52,4.52,200
UREKA,20200102,1.15,1.15,1.08,1.1,76600
UTP,20200102,9.5,9.75,9.5,9.7,212100
UV,20200102,6.5,6.6,6.5,6.55,5316000
UVAN,20200102,5.3,5.35,5.25,5.3,560300
UWC,20200102,0.04,0.04,0.03,0.03,3130200
VARO,20200102,6.5,6.5,6.5,6.5,1000
VCOM,20200102,2.6,2.8,2.6,2.8,109900
VGI,20200102,9.6,9.9,9.55,9.85,26603100
VIBHA,20200102,1.79,1.81,1.79,1.8,14076600
VIH,20200102,6.3,6.3,6.15,6.15,420100
VL,20200102,1.42,1.45,1.41,1.42,29517100
VNG,20200102,3.84,3.86,3.84,3.84,21200
VNT,20200102,25.75,26.25,25.5,26,2109800
VPO,20200102,0.62,0.65,0.62,0.62,2230200
VRANDA,20200102,8.5,8.5,8.4,8.4,86600
WACOAL,20200102,43.5,43.5,43.5,43.5,2200
WAVE,20200102,1.56,1.56,1.42,1.43,17600
WHA,20200102,3.9,3.96,3.88,3.9,71021800
WHABT,20200102,9.65,9.7,9.65,9.7,800
WHART,20200102,17.4,17.4,17,17.4,430100
WHAUP,20200102,5.5,5.5,5.35,5.45,5899900
WICE,20200102,2.28,2.3,2.24,2.3,850200
WIIK,20200102,1.25,1.27,1.25,1.26,269600
WIN,20200102,0.39,0.39,0.36,0.37,1207800
WINNER,20200102,2.08,2.12,2.06,2.1,251900
WORK,20200102,14.1,14.7,14,14.6,2015900
WP,20200102,5.05,5.1,5,5.05,57000
WPH,20200102,1.98,2,1.98,2,25200
XO,20200102,5.7,5.8,5.7,5.75,156400
YUASA,20200102,13.3,13.6,13.1,13.5,72400
ZEN,20200102,14.4,14.4,14.2,14.3,1162500
ZIGA,20200102,1.02,1.03,1.02,1.03,159600
ZMICO,20200102,0.74,0.83,0.72,0.77,938400
U-P,20200102,2.9,2.9,2.82,2.9,3500
AAV01C2001A,20200102,0.02,0.02,0.02,0.02,100
AAV01P2001A,20200102,2.14,2.14,2.08,2.12,1887600
AAV13C2002A,20200102,0.01,0.01,0.01,0.01,30000
AAV19C2003A,20200102,0.01,0.02,0.01,0.02,100100
AAV19C2004A,20200102,0.18,0.19,0.18,0.18,2809700
ADVA01C2003A,20200102,0.24,0.27,0.23,0.27,22536300
ADVA01C2003B,20200102,0.1,0.12,0.1,0.12,10162900
ADVA01C2005A,20200102,0.51,0.55,0.5,0.55,13803200
ADVA01C2005B,20200102,0.28,0.32,0.28,0.31,15745100
ADVA01P2003A,20200102,0.78,0.79,0.72,0.73,3777400
ADVA01P2003B,20200102,0.5,0.52,0.45,0.47,10574600
ADVA06C2005A,20200102,0.2,0.24,0.19,0.23,8597300
ADVA08C2001A,20200102,0.04,0.04,0.04,0.04,50000
ADVA08C2005A,20200102,0.29,0.32,0.28,0.31,4777000
ADVA08P2004A,20200102,0.37,0.39,0.33,0.34,1275300
ADVA11C2006A,20200102,0.09,0.11,0.09,0.1,6931000
ADVA11P2005A,20200102,0.17,0.17,0.15,0.16,531500
ADVA13C2001A,20200102,0.03,0.03,0.03,0.03,1819600
ADVA13C2004A,20200102,0.27,0.31,0.26,0.31,28640200
ADVA13P2003A,20200102,0.37,0.38,0.32,0.32,4621600
ADVA16C2002A,20200102,0.06,0.07,0.06,0.07,1638300
ADVA16C2005A,20200102,0.05,0.06,0.05,0.05,199100
ADVA16C2007A,20200102,0.24,0.29,0.24,0.28,6999000
ADVA19C2002A,20200102,0.02,0.02,0.02,0.02,118000
ADVA19C2005A,20200102,0.25,0.29,0.24,0.28,7028900
ADVA19P2002A,20200102,0.12,0.12,0.1,0.1,4882000
ADVA24C2001A,20200102,0.08,0.13,0.07,0.12,9736800
ADVA24C2006A,20200102,0.36,0.39,0.35,0.39,3304200
ADVA24P2001A,20200102,0.01,0.01,0.01,0.01,400000
ADVA28C2001A,20200102,0.05,0.06,0.05,0.06,111800
ADVA28C2004A,20200102,0.1,0.11,0.09,0.1,1376400
ADVA28C2005A,20200102,0.24,0.26,0.22,0.26,3453200
ADVA41C2004A,20200102,0.12,0.13,0.12,0.13,166600
ADVA41C2005A,20200102,0.23,0.23,0.23,0.23,600000
ADVA41C2006A,20200102,0.31,0.33,0.31,0.32,2352000
ADVA41C2007A,20200102,0.42,0.43,0.42,0.42,10300
ADVA41P2001A,20200102,0.07,0.07,0.06,0.06,20000
ADVA41P2005A,20200102,0.39,0.39,0.36,0.36,2928500
ADVA42C2003A,20200102,0.02,0.04,0.02,0.03,160100
ADVA42C2005A,20200102,0.29,0.33,0.28,0.32,1058200
AEON01C2005A,20200102,0.29,0.31,0.28,0.28,4373600
AEON13C2003A,20200102,0.15,0.17,0.14,0.15,2193200
AEON19C2003A,20200102,0.14,0.15,0.13,0.14,715800
AMAT01C2001A,20200102,0.02,0.02,0.01,0.02,134800
AMAT01C2001B,20200102,0.02,0.02,0.02,0.02,100
AMAT01C2004A,20200102,0.39,0.41,0.39,0.4,9696700
AMAT01C2004B,20200102,0.26,0.29,0.26,0.27,6408200
AMAT01P2001A,20200102,0.58,0.58,0.52,0.54,916900
AMAT06C2005A,20200102,0.36,0.39,0.36,0.37,4363000
AMAT08C2005A,20200102,0.35,0.38,0.35,0.37,1901500
AMAT11C2001A,20200102,0.03,0.03,0.03,0.03,5000
AMAT13C2004A,20200102,0.25,0.27,0.25,0.26,38845500
AMAT16C2006A,20200102,0.1,0.1,0.1,0.1,2369600
AMAT19C2003A,20200102,0.06,0.07,0.06,0.07,50100
AMAT19C2005A,20200102,0.3,0.32,0.3,0.31,4737700
AMAT24C2001A,20200102,0.01,0.02,0.01,0.02,600300
AMAT41C2005A,20200102,0.16,0.16,0.16,0.16,40000
AMAT41C2006A,20200102,0.3,0.32,0.3,0.31,1562000
AMAT42C2003A,20200102,0.02,0.02,0.01,0.02,2510300
AMAT42C2005A,20200102,0.29,0.31,0.29,0.29,1293400
ANAN13C2007A,20200102,0.31,0.35,0.31,0.35,3765000
ANAN19C2004A,20200102,0.15,0.17,0.15,0.17,1560700
ANAN19C2007A,20200102,0.36,0.4,0.36,0.4,1558700
AOT01C2002A,20200102,0.4,0.43,0.4,0.43,26105100
AOT01C2002B,20200102,0.17,0.19,0.17,0.19,15565900
AOT01C2004A,20200102,0.49,0.53,0.49,0.52,11518900
AOT01C2004B,20200102,0.22,0.23,0.22,0.23,13234900
AOT01P2002A,20200102,0.46,0.46,0.43,0.43,3506000
AOT01P2002B,20200102,0.2,0.2,0.19,0.19,6065600
AOT01P2004A,20200102,0.88,0.89,0.87,0.87,2376600
AOT01P2004B,20200102,0.62,0.62,0.58,0.58,8176800
AOT06C2003A,20200102,0.18,0.21,0.18,0.19,4160300
AOT06P2003A,20200102,0.23,0.23,0.19,0.2,5466000
AOT08C2005A,20200102,0.2,0.21,0.2,0.21,2104000
AOT08P2004A,20200102,0.33,0.33,0.32,0.32,1200000
AOT11C2004A,20200102,0.51,0.55,0.51,0.54,2295000
AOT11P2007A,20200102,0.63,0.64,0.62,0.62,1950500
AOT13C2002A,20200102,0.19,0.2,0.18,0.2,7770300
AOT13C2004A,20200102,0.42,0.46,0.42,0.45,37563400
AOT13P2002A,20200102,0.08,0.08,0.07,0.07,487400
AOT13P2004A,20200102,0.49,0.49,0.45,0.45,3555800
AOT16C2001A,20200102,0.03,0.04,0.03,0.04,1164800
AOT16C2002A,20200102,0.14,0.15,0.14,0.15,3675100
AOT16C2007A,20200102,0.39,0.41,0.39,0.41,7381100
AOT19C2002A,20200102,0.14,0.15,0.14,0.15,3104700
AOT19C2005A,20200102,0.44,0.47,0.44,0.46,3173200
AOT19P2004A,20200102,0.37,0.37,0.35,0.35,711000
AOT28C2002A,20200102,0.11,0.12,0.11,0.12,2078600
AOT28C2003A,20200102,0.09,0.09,0.09,0.09,4900
AOT28P2004A,20200102,0.35,0.35,0.34,0.34,1622400
AOT41C2002A,20200102,0.19,0.2,0.19,0.2,1176000
AOT41C2006A,20200102,0.49,0.51,0.49,0.51,2779300
AOT41P2004A,20200102,0.57,0.57,0.56,0.56,150000
AOT41P2006A,20200102,0.47,0.47,0.47,0.47,300000
AP01C2001A,20200102,0.14,0.18,0.14,0.18,16596400
AP01C2001B,20200102,0.03,0.03,0.03,0.03,100
AP11C2001A,20200102,0.1,0.1,0.1,0.1,130000
AP19C2002A,20200102,0.12,0.16,0.12,0.16,2458000
AP28C2004A,20200102,0.32,0.36,0.31,0.36,5337100
AWC01C2003A,20200102,0.24,0.25,0.22,0.22,11070200
AWC01C2003B,20200102,0.04,0.04,0.04,0.04,48000
AWC01C2004A,20200102,0.21,0.21,0.17,0.17,9328000
AWC01P2003A,20200102,0.44,0.48,0.44,0.48,9293800
AWC01P2003B,20200102,0.13,0.15,0.13,0.15,8834600
AWC06C2002A,20200102,0.04,0.04,0.04,0.04,120000
AWC06C2004A,20200102,0.27,0.27,0.23,0.23,1235000
AWC06P2002A,20200102,0.33,0.4,0.33,0.4,1787200
AWC08C2004A,20200102,0.14,0.14,0.12,0.12,410000
AWC13C2002A,20200102,0.07,0.07,0.05,0.05,5334500
AWC13C2003A,20200102,0.18,0.18,0.16,0.16,8701200
AWC13P2002A,20200102,0.11,0.14,0.11,0.14,16664400
AWC13P2003A,20200102,0.08,0.08,0.08,0.08,900
AWC16C2005A,20200102,0.07,0.08,0.06,0.06,5001500
AWC16C2007A,20200102,0.19,0.19,0.16,0.16,2679200
AWC19C2003A,20200102,0.14,0.14,0.11,0.11,528800
AWC19C2004A,20200102,0.1,0.1,0.09,0.09,1197200
AWC24C2007A,20200102,0.15,0.15,0.12,0.12,3152300
AWC28C2003A,20200102,0.04,0.04,0.04,0.04,2497000
AWC28C2003B,20200102,0.05,0.05,0.05,0.05,400
AWC28C2003C,20200102,0.18,0.18,0.16,0.16,608400
AWC41C2004A,20200102,0.06,0.06,0.06,0.06,100
AWC42C2003A,20200102,0.06,0.06,0.06,0.06,1000
BANP01C2002A,20200102,0.24,0.25,0.24,0.25,12818900
BANP01C2002B,20200102,0.08,0.08,0.08,0.08,9568000
BANP01C2005A,20200102,0.36,0.38,0.36,0.37,13032800
BANP01C2005B,20200102,0.22,0.24,0.22,0.23,7794600
BANP01P2002A,20200102,0.27,0.27,0.25,0.26,3230800
BANP01P2002B,20200102,0.22,0.22,0.2,0.2,10361300
BANP01P2005A,20200102,0.32,0.32,0.31,0.32,4690700
BANP01P2005B,20200102,0.16,0.16,0.15,0.16,10304800
BANP06C2002A,20200102,0.03,0.03,0.03,0.03,640000
BANP06C2005A,20200102,0.25,0.26,0.25,0.26,2685000
BANP08C2005A,20200102,0.27,0.28,0.27,0.28,946000
BANP08P2003A,20200102,0.33,0.34,0.32,0.32,648000
BANP13C2001A,20200102,0.03,0.03,0.03,0.03,457500
BANP13C2003A,20200102,0.12,0.13,0.12,0.12,2500100
BANP19C2002A,20200102,0.04,0.04,0.04,0.04,1300000
BANP19C2005A,20200102,0.2,0.2,0.2,0.2,853300
BANP19P2003A,20200102,0.23,0.23,0.23,0.23,18500
BANP27C2007A,20200102,0.25,0.26,0.25,0.26,949100
BANP28C2002A,20200102,0.05,0.05,0.05,0.05,404200
BANP28C2004A,20200102,0.14,0.15,0.14,0.15,2196100
BANP41C2006A,20200102,0.25,0.25,0.25,0.25,200000
BANP41P2002A,20200102,0.04,0.04,0.04,0.04,300
BANP41P2005A,20200102,0.25,0.25,0.25,0.25,29600
BANP42C2004A,20200102,0.17,0.19,0.17,0.19,481400
BBL06C2002A,20200102,0.1,0.1,0.1,0.1,200
BBL08C2001A,20200102,0.02,0.02,0.02,0.02,100
BBL08C2002A,20200102,0.06,0.07,0.06,0.07,3330200
BBL08C2005A,20200102,0.62,0.67,0.62,0.67,4201000
BBL08P2002A,20200102,0.31,0.31,0.26,0.26,2492100
BBL11C2001A,20200102,0.01,0.01,0.01,0.01,119900
BBL11C2005A,20200102,0.08,0.09,0.08,0.09,8231500
BBL11C2007A,20200102,0.39,0.43,0.39,0.43,9015600
BBL11P2001A,20200102,0.4,0.4,0.35,0.35,5860000
BBL13C2003A,20200102,0.23,0.27,0.23,0.26,69733700
BBL13C2004A,20200102,0.62,0.67,0.62,0.67,33392200
BBL13P2001A,20200102,0.02,0.02,0.02,0.02,25000
BBL13P2003A,20200102,0.6,0.62,0.55,0.55,41900
BBL13P2004A,20200102,0.46,0.46,0.43,0.43,8504700
BBL16C2006A,20200102,0.33,0.36,0.33,0.36,6280600
BBL19C2003A,20200102,0.12,0.14,0.12,0.14,5357000
BBL19C2005A,20200102,0.57,0.63,0.57,0.63,9055900
BBL19P2002A,20200102,0.16,0.16,0.14,0.14,1100800
BBL24C2004A,20200102,0.67,0.7,0.67,0.69,5857000
BBL28C2003A,20200102,0.11,0.13,0.1,0.13,7989900
BBL28C2005A,20200102,0.47,0.5,0.47,0.49,6367300
BBL41C2003A,20200102,0.16,0.18,0.16,0.18,3312000
BBL41C2005A,20200102,0.18,0.18,0.18,0.18,5000
BBL41C2006A,20200102,0.28,0.29,0.28,0.29,1576000
BBL41P2002A,20200102,0.54,0.54,0.49,0.49,369000
BBL41P2004A,20200102,0.37,0.38,0.36,0.36,4756000
BBL42C2005A,20200102,0.57,0.61,0.57,0.6,1310800
BCH01C2001A,20200102,0.39,0.39,0.35,0.36,4590300
BCH01P2001A,20200102,0.1,0.11,0.1,0.1,4610000
BCH08C2004A,20200102,0.29,0.29,0.27,0.28,1670700
BCH13C2004A,20200102,0.23,0.24,0.23,0.24,4560900
BCH16C2006A,20200102,0.38,0.38,0.36,0.36,7143100
BCH19C2001A,20200102,0.14,0.14,0.11,0.13,6003500
BCH19C2005A,20200102,0.22,0.22,0.21,0.22,5335800
BCH24C2003A,20200102,0.27,0.27,0.24,0.26,412500
BCH27C2003A,20200102,0.32,0.32,0.32,0.32,3088000
BCP01C2001A,20200102,0.1,0.14,0.1,0.12,17922900
BCP01C2005A,20200102,0.91,1.04,0.91,1.01,3547500
BCP01C2005B,20200102,0.23,0.29,0.22,0.27,14301800
BCP01P2001A,20200102,0.3,0.3,0.19,0.21,8276800
BCP01P2005A,20200102,0.17,0.17,0.14,0.14,18605400
BCP11C2004A,20200102,0.06,0.08,0.06,0.08,95000
BCP13C2003A,20200102,0.15,0.19,0.14,0.18,19158200
BCP13C2003B,20200102,0.92,0.92,0.92,0.92,100
BCP19C2005A,20200102,0.24,0.3,0.24,0.29,4389700
BCPG01C2005A,20200102,0.39,0.43,0.39,0.43,3033300
BCPG01C2005B,20200102,0.22,0.25,0.22,0.25,5405400
BCPG01P2005A,20200102,0.39,0.39,0.37,0.37,1506400
BCPG13C2004A,20200102,0.2,0.23,0.2,0.23,4691500
BCPG19C2003A,20200102,0.11,0.12,0.11,0.12,2742200
BCPG19C2005A,20200102,0.32,0.36,0.32,0.36,3041400
BCPG28C2004A,20200102,0.17,0.19,0.17,0.19,2280300
BCPG41C2005A,20200102,0.29,0.31,0.29,0.31,180200
BDMS01C2002A,20200102,0.65,0.68,0.65,0.68,938100
BDMS01C2002B,20200102,0.13,0.14,0.13,0.14,3046000
BDMS01P2002A,20200102,0.14,0.15,0.13,0.13,2931000
BDMS06C2003A,20200102,0.55,0.55,0.55,0.55,559000
BDMS06P2004A,20200102,0.15,0.15,0.15,0.15,1300000
BDMS11C2001A,20200102,0.18,0.2,0.18,0.2,112000
BDMS11C2007A,20200102,0.72,0.72,0.72,0.72,110000
BDMS11P2002A,20200102,0.07,0.07,0.07,0.07,705000
BDMS13C2003A,20200102,0.48,0.49,0.48,0.49,1100
BDMS13C2004A,20200102,0.15,0.16,0.15,0.16,2192400
BDMS16C2006A,20200102,0.66,0.69,0.66,0.66,377800
BDMS27C2002A,20200102,0.1,0.11,0.1,0.11,460400
BDMS41C2006A,20200102,0.21,0.22,0.21,0.22,1020000
BDMS42C2003A,20200102,0.15,0.15,0.15,0.15,809500
BEAU01C2001A,20200102,0.01,0.02,0.01,0.02,3621500
BEAU01P2001A,20200102,2.02,2.02,1.78,1.82,46200
BEAU13C2003A,20200102,0.02,0.03,0.02,0.03,5554600
BEAU13C2003B,20200102,0.01,0.01,0.01,0.01,308200
BEAU19C2002A,20200102,0.02,0.02,0.02,0.02,49900
BEC01C2001A,20200102,0.01,0.01,0.01,0.01,171400
BEC01P2001A,20200102,0.96,0.97,0.95,0.95,3990500
BEC19C2003A,20200102,0.06,0.06,0.06,0.06,1000
BEC42C2005A,20200102,0.35,0.36,0.35,0.36,291200
BEM01C2004A,20200102,0.28,0.28,0.28,0.28,6085500
BEM01C2004B,20200102,0.16,0.16,0.16,0.16,7423000
BEM01P2004A,20200102,0.22,0.23,0.22,0.23,15000
BEM06C2004A,20200102,0.14,0.14,0.13,0.14,3156400
BEM08C2005A,20200102,0.21,0.21,0.2,0.21,1000000
BEM11C2001A,20200102,0.04,0.04,0.03,0.03,40100
BEM11C2003A,20200102,0.09,0.09,0.09,0.09,560000
BEM13C2002A,20200102,0.03,0.04,0.03,0.04,71000
BEM13C2004A,20200102,0.15,0.15,0.14,0.15,7811400
BEM16C2006A,20200102,0.25,0.25,0.25,0.25,2391600
BEM19C2001A,20200102,0.04,0.04,0.04,0.04,1891600
BEM19C2005A,20200102,0.2,0.2,0.2,0.2,1851200
BEM28C2002A,20200102,0.07,0.07,0.07,0.07,302800
BEM41P2004A,20200102,0.2,0.2,0.19,0.19,600000
BGRI01C2001A,20200102,1.15,1.2,1.15,1.17,2300300
BGRI01C2001B,20200102,0.91,0.95,0.91,0.95,1696400
BGRI01C2003A,20200102,0.55,0.57,0.54,0.57,3317500
BGRI01C2003B,20200102,0.3,0.33,0.3,0.32,13068000
BGRI01P2001A,20200102,0.01,0.02,0.01,0.02,475600
BGRI01P2003A,20200102,0.32,0.32,0.29,0.3,9796400
BGRI06C2005A,20200102,0.33,0.35,0.33,0.35,2464300
BGRI08C2005A,20200102,0.38,0.4,0.38,0.39,856000
BGRI11C2006A,20200102,0.77,0.79,0.77,0.79,503100
BGRI13C2002A,20200102,0.34,0.36,0.34,0.36,28442700
BGRI13C2004A,20200102,0.26,0.28,0.26,0.27,4479600
BGRI16C2005A,20200102,0.36,0.38,0.36,0.37,4000200
BGRI19C2004A,20200102,0.57,0.57,0.57,0.57,11500
BGRI19C2005A,20200102,0.34,0.35,0.34,0.35,649100
BGRI24C2004A,20200102,0.52,0.53,0.52,0.53,922000
BGRI28C2003B,20200102,0.27,0.29,0.27,0.29,1328200
BGRI41C2004A,20200102,0.41,0.41,0.41,0.41,100
BGRI41C2005A,20200102,0.33,0.33,0.33,0.33,864200
BGRI41C2006A,20200102,0.33,0.33,0.33,0.33,100
BGRI41P2004A,20200102,0.38,0.38,0.37,0.38,182000
BGRI42C2003A,20200102,0.28,0.3,0.28,0.3,987400
BH01C2001B,20200102,0.01,0.01,0.01,0.01,3100
BH01C2004A,20200102,0.94,0.94,0.91,0.92,3020800
BH01C2004B,20200102,0.6,0.6,0.57,0.57,5975300
BH01P2001A,20200102,1.41,1.45,1.41,1.45,711200
BH01P2004A,20200102,0.5,0.51,0.49,0.51,3899400
BH11C2002A,20200102,0.01,0.01,0.01,0.01,40000
BH13C2001A,20200102,0.01,0.01,0.01,0.01,20000
BH13C2002A,20200102,0.42,0.42,0.37,0.38,13167600
BH19C2002A,20200102,0.22,0.23,0.21,0.21,1821500
BH19C2003A,20200102,0.65,0.67,0.63,0.63,293600
BH24C2003A,20200102,0.7,0.71,0.67,0.69,2451000
BH41C2003A,20200102,0.7,0.7,0.7,0.7,120000
BH41C2004A,20200102,0.65,0.65,0.65,0.65,120000
BH41C2005A,20200102,0.6,0.61,0.6,0.6,1836800
BH41C2006A,20200102,0.57,0.58,0.57,0.57,810600
BH42C2003A,20200102,0.62,0.62,0.54,0.56,109100
BJC01C2004A,20200102,0.19,0.2,0.16,0.17,19300900
BJC01C2004B,20200102,0.05,0.05,0.05,0.05,35000
BJC01P2004A,20200102,0.82,0.89,0.81,0.89,12061700
BJC06C2002A,20200102,0.02,0.02,0.02,0.02,50000
BJC11C2001A,20200102,0.04,0.04,0.04,0.04,100
BJC13C2002A,20200102,0.02,0.02,0.02,0.02,210000
BJC13C2004A,20200102,0.11,0.12,0.09,0.1,9009300
BJC13C2005A,20200102,0.27,0.28,0.23,0.24,13537200
BJC16C2006A,20200102,0.2,0.2,0.18,0.18,6868000
BJC19C2005A,20200102,0.16,0.16,0.14,0.14,6809800
BJC28C2004A,20200102,0.12,0.13,0.1,0.1,6454600
BJC41C2006A,20200102,0.21,0.21,0.19,0.19,2892000
BJC41P2005A,20200102,0.49,0.54,0.48,0.54,4089300
BJC42C2004A,20200102,0.17,0.17,0.13,0.13,6261500
BLAN19C2004A,20200102,0.14,0.17,0.14,0.16,1483400
BLAN28C2004A,20200102,0.11,0.12,0.11,0.12,406100
BPP01C2005A,20200102,0.46,0.49,0.46,0.48,5984900
BPP01C2005B,20200102,0.3,0.33,0.3,0.31,7627500
BPP01P2005A,20200102,0.4,0.4,0.38,0.39,5858300
BPP13C2004A,20200102,0.23,0.25,0.22,0.24,17554500
BPP19C2005A,20200102,0.28,0.3,0.28,0.29,8386400
BPP24C2003A,20200102,0.14,0.15,0.14,0.14,332100
BTS01C2001A,20200102,0.3,0.33,0.3,0.33,8356300
BTS01C2001B,20200102,0.07,0.09,0.07,0.09,1169600
BTS01C2005A,20200102,0.33,0.34,0.33,0.34,1983800
BTS01C2005B,20200102,0.19,0.2,0.19,0.2,9551700
BTS01P2001A,20200102,0.07,0.07,0.06,0.06,92200
BTS01P2005A,20200102,0.28,0.28,0.27,0.27,2168900
BTS08C2005A,20200102,0.13,0.15,0.13,0.14,1538600
BTS11C2003A,20200102,0.23,0.25,0.23,0.25,2600000
BTS13C2003A,20200102,0.14,0.15,0.14,0.15,14812000
BTS16C2001A,20200102,0.07,0.08,0.07,0.08,1032000
BTS16C2001B,20200102,0.27,0.3,0.27,0.29,759400
BTS19C2002A,20200102,0.06,0.07,0.05,0.07,478600
BTS19C2005A,20200102,0.23,0.24,0.23,0.24,2357200
BTS24C2001A,20200102,0.24,0.26,0.24,0.26,460000
BTS24C2007A,20200102,0.24,0.25,0.24,0.25,1036800
BTS41P2004A,20200102,0.28,0.28,0.27,0.27,27000
BTS42C2003A,20200102,0.06,0.06,0.06,0.06,500000
CBG01C2001A,20200102,0.54,0.55,0.48,0.49,9891100
CBG01C2001B,20200102,0.08,0.08,0.06,0.06,1343300
CBG01C2004A,20200102,0.93,0.93,0.86,0.87,3490300
CBG01C2004B,20200102,0.44,0.46,0.41,0.41,10878200
CBG01P2001A,20200102,0.02,0.02,0.01,0.02,80400
CBG01P2003A,20200102,0.28,0.31,0.28,0.31,7413100
CBG01P2004A,20200102,1.04,1.11,1.02,1.08,6192900
CBG06C2002A,20200102,0.48,0.5,0.41,0.43,1894000
CBG08C2003A,20200102,0.57,0.58,0.52,0.53,1780000
CBG11C2002A,20200102,0.47,0.48,0.42,0.43,1212500
